Amazon Category,Quicken Category
SUNGLASSES,Shopping:Clothing
SUNSCREEN,Shopping:Personal Care
SWIMWEAR,Shopping:Clothing
TABLETOP_GAME,Kids:Toys
TEA,Food & Dining:Groceries
TEACHING_EQUIPMENT,Education:Books & Supplies
THERMOMETER,Shopping:Personal Care
THERMOS,Education:Books & Supplies
TIGHTS,Shopping:Clothing
TIMER,Shopping:Electronics & Software
TOILET_SEAT,Home:Furnishings
TOOTHBRUSH,Shopping:Personal Care
TOPICAL_HAIR_REGROWTH_TREATMENT,Shopping:Personal Care
TOYS_AND_GAMES,Kids:Toys
TOY_BUILDING_BLOCK,Kids:Toys
TOY_FIGURE,Kids:Toys
TRAMPOLINE,Health & Fitness:Sports
TWO_WAY_RADIO,Kids:Toys
UNDERWEAR,Shopping:Clothing
UNMANNED_AERIAL_VEHICLE,Kids:Toys
VEGETABLE,Food & Dining:Groceries
VINEGAR,Food & Dining:Groceries
VITAMIN,Shopping:Personal Care
WALLET,Shopping:Clothing
WASTE_BAG,Home:Supplies
WATER,Food & Dining:Groceries
WATER_FLOTATION_DEVICE,Kids:Toys
WEARABLE_COMPUTER,Shopping:Electronics & Software
WINE,Food & Dining:Alcohol & Bars
WRITING_INSTRUMENT,Education:Books & Supplies
AMAZON_DEVICE,Uncategorized
APRON,Home:Supplies
ART_CRAFT_KIT,Kids:Kids Activities
BEER,Food & Dining:Alcohol & Bars
CEREAL,Food & Dining:Groceries
DRINKING_CUP,Home:Supplies
FOOD,Food & Dining:Groceries
KEYCHAIN,Shopping:Personal Care
MEDICATION,Shopping:Personal Care
PASTRY,Food & Dining:Groceries
PLANT_SEED,Home:Supplies
RECREATION_BALL,Kids:Toys
RESPIRATOR,Shopping:Pandemic-related
SPORT_ACTIVITY_GLOVE,Health & Fitness:Sports
BACKPACK,Education:Books & Supplies
BASKET,Home:Furnishings
BICYCLE_LIGHT,Health & Fitness:Sports
BLANK_BOOK,Education:Books & Supplies
BREAKFAST_CEREAL,Food & Dining:Groceries
CYCLING_TIRE_TUBE,Health & Fitness:Sports
ELECTRIC_FAN,Health & Fitness:Sports
ERASER,Education:Books & Supplies
GUILD_HOME,Education:Books & Supplies
KEYBOARD_MOUSE_SET,Shopping:Electronics & Software
PRETZEL,Food & Dining:Groceries
PROTEIN_SUPPLEMENT_POWDER,Shopping:Personal Care
SAFETY_GLASSES,Shopping:Personal Care
SHAVING_AGENT,Shopping:Personal Care
SLEEPING_BAG,Home:Furnishings
TOWEL,Home:Furnishings
WRITING_PAPER,Education:Books & Supplies
BABY_PRODUCT,Kids:Baby Supplies
SNACK_MIX,Food & Dining:Groceries
LAUNDRY_DETERGENT,Home:Supplies
SUGAR_CANDY,Food & Dining:Groceries
SNACK_CHIP_AND_CRISP,Food & Dining:Groceries
FLASH_DRIVE,Shopping:Electronics & Software
COMPUTER_DRIVE_OR_STORAGE,Shopping:Electronics & Software
DISHWASHER_DETERGENT,Home:Supplies
BODY_DEODORANT,Shopping:Personal Care
SUGAR_SUBSTITUTE,Food & Dining:Groceries
FLASHLIGHT,Home:Supplies
STROLLER_PROTECTION_SHIELD,Kids:Baby Supplies
CLEANING_BRUSH,Kids:Baby Supplies
COMPUTER,Shopping:Electronics & Software
COMPUTER_COMPONENT,Shopping:Electronics & Software
CAMCORDER,Shopping:Electronics & Software
DENTAL_FLOSS,Shopping:Personal Care
TOOTH_CLEANING_AGENT,Shopping:Personal Care
HAIR_CLEANER_CONDITIONER,Shopping:Personal Care
BABY_BOTTLE,Kids:Baby Supplies
MAJOR_HOME_APPLIANCES,Home:Furnishings
LUGGAGE,Kids:Baby Supplies
MATTRESS,Home:Furnishings
MICROWAVE_OVEN,Home:Furnishings
CHARGING_ADAPTER,Shopping:Electronics & Software
NETWORKING_ROUTER,Shopping:Electronics & Software
DIGITAL_DEVICE_7,Shopping:Electronics & Software
WEIGH_SCALE,Shopping:Personal Care
INFANT_TODDLER_CAR_SEAT,Kids:Baby Supplies
STROLLER,Kids:Baby Supplies
WATCH,Shopping:Electronics & Software
GPS_OR_NAVIGATION_SYSTEM,Shopping:Electronics & Software
CLOCK,Home:Furnishings
LICENSE_PLATE_ATTACHMENT,Auto & Transport:Service & Parts
PLUMBING_FIXTURE,Home:Furnishings
POWER_CORD,Home:Furnishings
BOTTLE_NIPPLE,Kids:Baby Supplies
SINGLE_BOARD_COMPUTER,Shopping:Electronics & Software
PAINT_BRUSH,Kids:Kids Activities
SAFE,Home:Furnishings
COSTUME_HEADWEAR,Kids:Kids Activities
WIG,Kids:Kids Activities
NETWORKING_DEVICE,Shopping:Electronics & Software
DIGITAL_DEVICE_3,Shopping:Electronics & Software
SEEDS_AND_PLANTS,Food & Dining:Groceries
TRANSPORT_RACK,Auto & Transport
UMBRELLA,Home
BODY_POSITIONER,Kids:Baby Supplies
CHOCOLATE_CANDY,Food & Dining:Groceries
WIRELESS_SIGNAL_REPEATER,Shopping:Electronics & Software
VEHICLE_INTERIOR_SHADE,Auto & Transport
NIGHTGOWN_NIGHTSHIRT,Shopping:Clothing
TEMPORARY_TATTOO,Kids
APPAREL_HEAD_NECK_COVERING,Shopping:Pandemic-related
SLEEPWEAR,Shopping:Clothing
VIDEO_DISC_PLAYER,Shopping:Electronics & Software
LOCATION_TRACKER,Shopping:Electronics & Software
CULINARY_SALT,Food & Dining:Groceries
FAUCET,Home:Furnishings
PHONE_ACCESSORY,Shopping:Electronics & Software
SIM_CARD,Shopping:Electronics & Software
MATTRESS_COVER,Home:Furnishings
PILLOWCASE,Home:Furnishings
PET_FEEDER,Home
NETWORK_INTERFACE_CONTROLLER_ADAPTER,Shopping:Electronics & Software
SLIPPER,Shopping:Clothing
NUTRITIONAL_SUPPLEMENT,Shopping:Personal Care
PORTABLE_STOVE,Home
RUBBER_STAMP,Home
FOOD_SLICER,Home
PAPER_PRODUCT,Education:Books & Supplies
RUG,Home:Furnishings
EXERCISE_BAND,Health & Fitness:Sports
FLATWARE,Home
SCIENCE_FUNDAMENTALS_KIT,Kids:Toys
MUSCLE_ROLLER,Health & Fitness:Sports
CARD_STOCK,Education:Books & Supplies
PRESSURE_COOKER,Home
UNDERPANTS,Shopping:Clothing
WRITING_BOARD,Education:Books & Supplies
COMPUTER_INPUT_DEVICE,Shopping:Electronics & Software
INPUT_MOUSE,Shopping:Electronics & Software
WIRELESS_ACCESSORY,Shopping:Electronics & Software
SKIRT,Shopping:Clothing
TOOTHBRUSH_HOLDER,Home
COAT,Shopping:Clothing
DOORSTOP,Home
MULTIPORT_HUB,Shopping:Electronics & Software
SHIN_GUARD,Health & Fitness:Sports
PORTABLE_ELECTRONIC_DEVICE_STAND,Shopping:Electronics & Software
TOTE_BAG,Home
ARTIFICIAL_TREE,Home
VIDEO_GAME_ACCESSORIES,Shopping:Electronics & Software
PERSONAL_FLOTATION_DEVICE,Health & Fitness:Sports
VALVE,Home
SCULPTING_MATERIAL,Kids:Toys
BLOOD_PRESSURE_MONITOR,Shopping:Personal Care
BUILDING_MATERIAL,Home
STORAGE_BOX,Home
HANDRAIL,Home
HAIR_TRIMMER,Shopping:Personal Care
FOOD_GLITTER_SPRINKLE,Food & Dining:Groceries
PAPER_CLIP_CLAMP,Education:Books & Supplies
IRRIGATION_SPRINKLER,Home
INTERNAL_MEMORY,Shopping:Electronics & Software
BLOOD_OXYGEN_MONITOR,Shopping:Pandemic-related
TOWEL_HOLDER,Home:Furnishings
TABLE,Home:Furnishings
DYE,Kids:Kids Activities
SCREW_GUN,Home
AUTO_ACCESSORY,Auto & Transport:Service & Parts
KNEE_PAD,Health & Fitness:Sports
PICKLE,Food & Dining:Groceries
TREE_SKIRT,Home
